Locustag,28_1,28_2,29_1,29_2,36_1,36_2,46_1,46_2,47_1,47_2,49_1,49_2
ECB_02536,3.050726742984255e-05,3.9025576257530124e-05,2.5394529963633942e-05,3.0257516895263478e-05,1.8417562988065418e-05,3.0270152462109337e-05,8.959922064968802e-06,1.5098235591430242e-05,1.6772493966362942e-05,2.495129604859534e-05,1.0759909376968967e-05,1.2871882964062897e-05
ECB_02537,4.1911853384923876e-05,6.458214831998348e-05,4.5054811225802156e-05,7.119415740061995e-05,7.640799780183897e-05,0.00012843193258923533,6.842122304157994e-05,7.716875968953234e-05,7.850954622552867e-05,7.216306210132966e-05,5.1032713045052814e-05,8.811268338286355e-05
ECB_02538,3.7064904354014315e-06,5.871104392725771e-06,4.642010853567494e-06,4.576767261468425e-06,3.384849414022834e-05,5.751328967800774e-05,3.54324190751039e-05,2.875854398367665e-05,4.4250835145297974e-05,3.351301528095649e-05,2.7668338397920203e-05,3.105175890299709e-05
ECB_02539,7.270423546364346e-05,0.00017164346371674753,4.4235632839878475e-05,0.00010780829549236735,4.2061731688960217e-05,5.578356668017292e-05,4.011601469997396e-05,4.9608488371842224e-05,4.6748866161564795e-05,5.4550382537615304e-05,0.00010652310283199278,3.357305556606096e-05
ECB_02540,2.7085891643318152e-05,3.971629442138021e-05,2.1025578572041005e-05,3.559707870030997e-05,2.7875230468423337e-05,4.583765944262271e-05,2.484342027104986e-05,2.995681664966318e-05,3.8719480752135726e-05,3.4491497478940616e-05,3.2126015139807346e-05,2.4018668211292623e-05
ECB_02541,2.6230547696687053e-05,4.455132156833085e-05,2.4302292115735706e-05,4.475061322324682e-05,2.5884142577821672e-05,4.4107936444787894e-05,1.812347872232326e-05,2.0610289854968265e-05,2.4623448588915808e-05,2.3972813850611208e-05,1.706214201205079e-05,1.3137282612806461e-05
ECB_02542,0.0007150675393835992,0.0007452848987942478,0.0008107135426024642,0.0008149188373892391,0.0004094174475049678,0.0004229172729706133,0.00041561820305912104,0.00767014333497976,0.00042002607230657836,0.00045181415491917247,0.00029497522992004925,0.00033161686110508434
ECB_02543,0.0009856413411679038,0.0011313963523864486,0.0008440267969633603,0.0010122283593281,0.0005821443220146624,0.0007074567061144411,0.0006811577115300146,0.0006880481648094638,0.0007344211187824454,0.0007292138580476736,0.0005902578858222976,0.0010249734434476475
ECB_02544,0.00011005425446653481,0.00016818987289749708,7.83680655866983e-05,0.0001482364063020051,7.541245385653813e-05,8.562128839282355e-05,7.391935703599262e-05,7.357394169157276e-05,8.600363927432912e-05,8.830801836806782e-05,6.963198496809917e-05,8.811268338286355e-05
ECB_02545,0.0002805528144950007,0.00012053031959184082,8.68329089079096e-05,9.712917188227436e-05,0.0001398739243147671,9.210774963470413e-05,7.453026081314958e-05,6.61446511624563e-05,8.404090061869091e-05,8.928650056605195e-05,5.64126677335373e-05,6.130731885976349e-05
ECB_02546,0.00010321150289348601,0.000121911755919541,7.509135204300358e-05,9.941755551300857e-05,3.807955590775688e-05,7.135107366068629e-05,5.33522632050415e-05,6.302914223089133e-05,5.4956682357870064e-05,4.892410989920655e-05,6.901713300370094e-05,8.69183849635175e-05
ECB_02547,0.001108240640185028,0.0013904156638302326,0.0010578323556894396,0.0012891227786469399,0.0012713096181491644,0.0013971837515010753,0.001360075442543787,0.0015256407583340464,0.0015262969509390277,0.001434944143343728,0.0012881148654142849,0.0013074913695351725
ECB_02548,7.412980870802863e-06,1.2432926949301632e-05,7.0995460113385215e-06,9.916329066514922e-06,7.964351562406667e-06,1.2972922483761144e-05,7.1272107334979105e-06,8.627563195102995e-06,9.099970130686276e-06,1.1007924727321473e-05,9.2227794659734e-06,9.421687530396554e-06
ECB_02549,0.00029965549596976186,0.00029010162881703806,0.0003000923487100398,0.0003201194434549304,0.00034719595092366567,0.00032216090834673506,0.00032907350129521783,0.00034630080047010634,0.0003049382147714284,0.0003324393267651085,0.00027868165286349625,0.0003387826516211606
ECB_02550,3.763513365176838e-05,5.3876016780307074e-05,4.560093014975127e-05,4.780179139755911e-05,3.26040642086023e-05,6.399975091988832e-05,4.4595975732458354e-05,5.440157903578833e-05,5.388609763661286e-05,4.4276319458781925e-05,5.0725287062853705e-05,5.321262957308476e-05
ECB_02551,2.509008910117892e-05,3.7644139929829945e-05,2.4302292115735706e-05,3.0257516895263478e-05,2.9368546386374588e-05,4.49727979437053e-05,2.3621612716735933e-05,4.241885237592306e-05,3.0511664555830456e-05,3.913928791936524e-05,3.6583691881694486e-05,4.1004245730880775e-05
ECB_02552,0.00012231418436824723,7.2525407204259525e-06,5.7888605938606405e-05,6.8651508922026375e-06,1.7422019042764586e-06,7.351322740797981e-06,1.0588998804054039e-05,7.189635995919163e-06,8.386246983181471e-06,9.050960331353211e-06,3.842824777488917e-06,3.4501954336663437e-06
ECB_02553,0.00017049856002846584,2.3829776652828128e-05,9.775528738689194e-05,1.9069863589451774e-05,8.711009521382292e-06,2.2918829721311354e-05,6.312672363955293e-06,1.1263763060273354e-05,2.3552863867658598e-05,2.495129604859534e-05,6.455945626181381e-06,6.767691042960905e-06
ECB_02554,2.851146488770332e-05,1.3814363277001813e-06,1.4472151484651601e-05,1.5255890871561418e-06,2.4888598632520836e-06,3.0270152462109337e-06,2.036345923856546e-06,2.396545331973054e-06,2.6764618031430225e-06,3.1800671434484258e-06,2.6131208486924637e-06,1.8577975412049541e-06
ECB_02555,5.046529285123487e-05,1.105149062160145e-05,2.8125124583379524e-05,8.645004827218136e-06,9.706553466683127e-06,9.513476488091507e-06,6.923576141112256e-06,9.106872261497607e-06,1.6772493966362942e-05,1.3698750771777834e-05,4.765102724086257e-06,9.421687530396554e-06
ECB_02556,1.0549242008450228e-05,3.108231737325408e-06,1.0103200093058665e-05,3.0511781743122836e-06,4.479947753853751e-06,6.918891991339277e-06,3.461788070556128e-06,2.875854398367665e-06,6.245077540667053e-06,6.604754836392884e-06,2.7668338397920202e-06,3.848294906781691e-06
