"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ECB_00076",887.26568148418,-1.55619541724729,0.194436230711481,4.92357675604989e-18,3.55065631445905e-16
"ECB_00077",16.3294466643856,-0.307650001195658,0.444843730850792,0.224624518165918,0.382014486676731
"ECB_00078",38.0818166433958,1.86319851884004,0.813410979424131,0.000139843865600803,0.00120003317163161
"ECB_00079",3425.30135788978,0.355956642876215,0.160820450089158,0.0157651042541898,0.0521332812638551
"ECB_00080",414.785005011557,0.516728668865709,0.198399196536437,0.00359080350658708,0.0159765306432236
"ECB_00081",1028.32376872079,-0.115510859004597,0.18400167894288,0.478979251017807,0.646677643624194
"ECB_00082",637.567269628717,0.648639470598487,0.201264451263974,0.000321091392107755,0.0023245033212434
"ECB_00083",1015.62201295343,0.250094857092906,0.12906643130185,0.0374671153245609,0.102881893029316
"ECB_00084",111.75006593527,0.250935602350005,0.216000055624645,0.176434132805819,0.323060545909092
"ECB_00085",455.828567721935,0.0951544968325209,0.132724164944881,0.438433893926751,0.610188640826774
"ECB_00086",1771.17476439573,0.441760793769458,0.179040819241035,0.00659883690277671,0.026247115362274
"ECB_00087",1414.56193043957,0.336732405261717,0.161712759489293,0.0227055471220927,0.0697790158991042
"ECB_00088",1355.9232564004,0.0193649095626118,0.212665838238767,0.915859888199066,0.953490999651998
"ECB_00089",858.055204914524,0.437359709902888,0.218510805132141,0.0211110492752087,0.0661373724160673
"ECB_00090",631.731862791753,0.324613216732321,0.174201466696868,0.0387944659276461,0.105649417014287
"ECB_00091",710.278398014622,0.383864585504975,0.157669582234129,0.00831821795570141,0.0317005257458133
"ECB_00092",926.591051514081,0.572692558447152,0.162371806002724,0.00015253990710685,0.00127399699699485
"ECB_00093",647.763200884138,0.27528791398985,0.186453320880033,0.0961332661037551,0.209106582302252
"ECB_00094",277.956811840095,0.35839205951553,0.171387732177651,0.0212168670606708,0.0662444602529967
"ECB_00095",1176.76530191808,0.256194224391716,0.174500958086497,0.101432947799568,0.21735631671336
"ECB_00096",4430.40298518157,0.114329489854938,0.162225714732672,0.435557728736535,0.608324188468249
"ECB_00097",12150.0502031982,-0.0768823106686866,0.226792961637242,0.689115337664563,0.814051149343625
"ECB_00098",556.874528036426,0.346985796111577,0.179429190794966,0.0314972162299216,0.0898200574438068
"ECB_00099",3565.00902975669,0.260330886326783,0.171047221295214,0.0906115881184613,0.200704935288972
"ECB_00100",47.2341424249935,0.513773784626926,0.263761436568126,0.0178302502360468,0.057591247532451
"ECB_00101",112.330609197759,0.0737269854143847,0.226738862007775,0.701202251600227,0.822749825876362
"ECB_00102",260.780002822186,0.216188947940261,0.147218339854489,0.108658001754277,0.229429902352781
"ECB_00103",159.120253949147,0.117433759236552,0.1959967406036,0.494237800660521,0.660981366789213
"ECB_00104",442.749977249559,0.280203560552236,0.157933539639454,0.0516246661220829,0.130472730639729
"ECB_00105",18.6176086558784,0.316195569192293,0.333611335782483,0.189880923108844,0.34088689717096
"ECB_00106",81.2940769506111,-0.0592267962166546,0.272466705877194,0.78445340407739,0.879432067351334
"ECB_00108",407.925920877426,-0.0197099248583554,0.175921289470428,0.900375365110344,0.945960178768191
"ECB_00109",512.483305474067,0.193707148723194,0.150143902765446,0.157352065497265,0.297714553791496
"ECB_00110",605.633277537822,-0.482857808605764,0.220898737942591,0.0118435198513164,0.0412762076602571
"ECB_00111",4707.06727449725,0.127227888191109,0.116195058305142,0.241733351787585,0.403194302791259
"ECB_00112",1156.47588278001,0.141176086890374,0.246499647511201,0.488221176368584,0.654803079893487
"ECB_00113",44191.7023351104,-0.331142803971634,0.190774404535685,0.0504547817387571,0.128274868827348
"ECB_00114",31592.5834328256,-0.566069390071735,0.184721306564192,0.00076336868403219,0.0047394578892727
"ECB_00115",25717.3419397838,0.0533436490676865,0.157726504117065,0.709785665581597,0.829705812322627
"ECB_00116",19.3765295500697,0.406373755095641,0.341942848531352,0.0985442200333412,0.212379784554615
"ECB_00117",27865.9553682168,0.60070785835536,0.206646041725176,0.0010822287194726,0.00619596595117903
"ECB_00118",127.011298484376,0.747213595296604,0.226138748070427,0.000146295594374888,0.0012411956536331
"ECB_00119",1050.59907266726,1.43300085250599,0.274881486111007,8.47255816173767e-10,2.64767442554302e-08
