Locustag	28_1	28_2	29_1	29_2	36_1	36_2	46_1	46_2	47_1	47_2	49_1	49_2
ECB_00264	65	72	82	57	31	38	70	67	87	94	160	234
ECB_00265	3	3	0	1	1	1	0	0	1	1	2	1
ECB_00266	8	16	11	21	15	14	9	4	17	15	10	29
ECB_00267	437	585	1173	1028	1413	810	1932	1402	2283	1429	1357	1966
ECB_00268	1004	981	2104	1658	1668	1139	2429	1869	2813	1887	2096	2817
ECB_00269	293	165	564	394	380	286	582	430	611	462	708	994
ECB_00270	520	373	618	509	471	278	611	447	593	501	661	773
ECB_00271	25	22	12	18	19	20	13	18	25	24	756	708
ECB_00272	41	22	43	35	22	32	25	25	43	29	55	99
ECB_00273	3	2	4	3	2	1	0	1	1	3	1	4
ECB_00274	43	82	32	56	33	42	36	26	28	37	81	138
ECB_00275	5	11	11	9	11	13	5	4	11	13	18	16
ECB_00276	43	61	53	48	25	59	21	49	35	94	53	70
ECB_00277	27	42	31	28	16	18	20	18	35	30	68	65
ECB_00278	10	16	20	72	16	27	12	28	35	32	19	25
ECB_00279	84	55	107	126	75	49	120	110	131	127	125	183
ECB_00280	62	63	44	50	50	36	49	53	76	50	113	156
ECB_00281	12	6	2	3	4	1	2	1	4	6	12	11
ECB_00282	10	9	6	16	10	6	6	7	7	11	18	46
ECB_00283	107	17	101	18	9	14	26	27	12	31	18	34
ECB_00284	54	64	37	51	12	15	19	17	29	26	93	164
ECB_00285	79	37	94	18	18	31	11	28	20	20	33	32
ECB_00286	11	23	14	24	17	29	6	10	18	14	17	21
ECB_00287	9	10	13	12	12	17	4	4	11	12	9	9
ECB_00288	12	48	18	21	8	16	20	15	21	26	10	20
ECB_00289	31	65	50	44	27	24	19	29	28	52	21	42
ECB_00290	63	141	71	169	331	200	421	339	532	275	550	530
ECB_00291	460	525	442	591	929	529	1187	854	1472	979	1405	1553
ECB_00292	28	61	44	40	24	47	37	42	79	57	91	94
ECB_00293	7	9	9	16	14	10	19	7	19	11	15	18
ECB_00294	17	17	11	11	16	15	14	10	24	15	19	16
ECB_00295	31	49	62	96	34	57	66	67	81	163	49	57
ECB_00296	3	4	9	8	6	10	5	6	2	19	16	43
ECB_00297	14	7	21	16	15	17	7	12	21	21	48	69
