"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ECB_01130",476.202037873753,0.794322661192223,0.255309942165191,0.000441638820340426,0.00289177418883775
"ECB_01131",548.529832455294,0.773288650184615,0.217529827607199,0.000101899980535448,0.000830418672545376
"ECB_01132",69.832946380636,0.202608321227265,0.214242209038304,0.28864302418702,0.431417620509778
"ECB_01133",32.7303974689495,0.104335286081996,0.305178587902038,0.675420099226976,0.779354156577621
"ECB_01134",11242.4251226211,1.32653691413192,0.255291899333189,5.14271586031166e-09,1.22546362114389e-07
"ECB_01135",17.917080773011,0.372957782672345,0.471850566214252,0.225480827418036,0.359718353910554
"ECB_01137",158.219989433613,1.44508902099658,0.212081804450239,1.299630655029e-13,4.99296879202467e-12
"ECB_01138",299.405333546375,1.60822510645036,0.329967021334667,9.70503343722077e-09,2.20117174042989e-07
"ECB_01143",8.71324598569245,-0.0282945139603699,0.491843165522124,0.923482141890247,0.954670583255568
"ECB_01149",138.468917919509,0.690932898398941,0.239033770727443,0.00122721603163095,0.00661162654372249
"ECB_01150",1508.28080606666,0.487294184557118,0.22985082512356,0.0170389445017829,0.0519867309961203
"ECB_01151",559.82691373947,1.0916630373528,0.159534633785999,6.73825226739896e-13,2.39335092327897e-11
"ECB_01152",105.809655063775,-0.728944494510078,0.339279430616055,0.00789176318958686,0.0287077182693667
"ECB_01153",479.856836794361,-1.10128666849059,0.325480301500621,4.9993968930531e-05,0.000459026207090346
"ECB_01154",206.509062491638,0.00475814773368122,0.263345465665563,0.983122867444359,0.990291064906606
"ECB_01155",488.118031022066,0.145182911383481,0.194854224550677,0.410756739514525,0.560122826610716
"ECB_01156",101.915169364412,0.0931089886119814,0.268789472749557,0.683342586400848,0.785343357081561
"ECB_01158",14.7556945031587,-0.242418236113523,0.439093673028131,0.414643215629248,0.563866111187955
"ECB_01159",43.5733825412196,-0.721533374195852,0.301213622892249,0.00446793184542476,0.0183243610000264
"ECB_01160",248.66720822138,-0.599687994458061,0.251956842913359,0.00671569197118805,0.0254359904975364
"ECB_01161",516.089986874044,-0.360837823737817,0.232175780925368,0.0774413723905204,0.165945797979687
"ECB_01162",297.227028028448,-0.627761475604354,0.176751212998727,0.000152384692966634,0.00117778139510002
"ECB_01163",305.54991521047,-0.94457499294745,0.407389553648922,0.00230154809496015,0.0110105826906289
"ECB_01164",2095.99472664645,-0.747922066924532,0.507674204579302,0.0257796235550697,0.0718965056924721
"ECB_01165",1043.51475038402,-0.501257726558919,0.400921621984732,0.0896476606625476,0.182721699224924
"ECB_01166",441.79238588161,-0.165081036283477,0.237478856533766,0.426504459330882,0.573313734911705
"ECB_01167",132.050113231097,-0.0325767134432411,0.295910500363157,0.893855493104391,0.936062467634453
"ECB_01168",230.988044045033,-0.0957137191404725,0.180149943426153,0.562301195341683,0.691624959314419
"ECB_01169",11.5644352887058,-0.845697465666602,0.488607897672335,0.0116536071868122,0.0386230907203769
"ECB_01170",10.3091045110552,-0.784183078202369,0.648291345186214,0.0310935758778268,0.0835002233808973
"ECB_01171",11.5805475447454,-0.116595721419592,0.472024907776666,0.694060514828118,0.793915351471052
"ECB_01172",103.577115672777,-0.463064979687752,0.399872549033352,0.115151718605756,0.217643685015398
"ECB_01173",1766.73266943216,-0.819319530441202,0.578089806027924,0.021107411467545,0.0610833237319808
"ECB_01174",1232.36732959601,-1.31795370156224,0.762918208531744,0.00255653423807491,0.0119569582687603
"ECB_01175",1312.89613146139,-0.664341893406512,0.783852797665835,0.0636569628617714,0.143000277550459
"ECB_01176",60.9167659053873,-0.495153408370072,0.27840957727058,0.0362851112651527,0.0941512363289456
"ECB_01177",133.703616619214,1.68109524390974,0.428635680901165,7.64665679024566e-07,1.1945918180612e-05
"ECB_01178",281.563531514202,0.480244960279399,0.234530229983869,0.0206031833278684,0.0598080071159789
"ECB_01179",84.4097709390769,0.910375833962951,0.282211401739695,0.000196062172435439,0.00145024377056862
"ECB_01180",161.468798438985,-1.85244762069832,0.890746987113523,0.000411406858960506,0.00273182861373246
"ECB_01181",152.877473906814,-0.0845944794904634,0.194939415329335,0.632257060378551,0.749511282218276
"ECB_01182",1455.33787656942,0.7090022549336,0.236094019873307,0.000820222904335643,0.00476564696732052
"ECB_01183",747.310027837612,0.403072147930392,0.234595730306388,0.0509134925221314,0.121399176279813
"ECB_01184",286.711127191194,-0.128663245697857,0.185916754735056,0.448125615594735,0.594291279575265
"ECB_01185",634.837683216384,-0.128381352404304,0.134705589768847,0.3137361157117,0.460154450975673
"ECB_01186",391.905169725146,-0.0919347888127626,0.14300630878601,0.494763299668605,0.635097625386103
"ECB_01187",229.594867833193,0.140834471712528,0.211338899381078,0.456073141231791,0.602285295242965
"ECB_01188",35.8237959918072,-0.0169131818061412,0.362070887506162,0.950856236354913,0.97202653539947
"ECB_01189",308.966544683698,-0.0448978214985832,0.201851849171249,0.805291575382562,0.872495764407293
"ECB_01190",869.770996655878,0.254570149461336,0.163062363774006,0.0919594830329268,0.186043768736684
"ECB_01191",26.3533348959046,0.0476455729853777,0.404663195006095,0.868151022356627,0.917112401563608
"ECB_01192",19.0054404553294,0.171171222648503,0.427770667865008,0.559456335463209,0.689832699057622
"ECB_01193",51.2621311267866,0.492954202865146,0.341955394961644,0.0690043493294305,0.151664550627733
"ECB_01194",992.465145810074,0.545205223949381,0.308122777918394,0.0322592980996065,0.0857136607939438
"ECB_01195",36.4131437924051,-0.0971252665919953,0.331834004972124,0.711149729947677,0.804975244764207
"ECB_01196",177.70256992403,-0.296561843443562,0.177597305056474,0.0687090389446287,0.151192011470793
"ECB_01197",45.4060276702533,-0.385263565111884,0.384626714237624,0.179101817294035,0.301169424793229
"ECB_01198",62.659570483646,-0.357177605907332,0.292276362673328,0.141677258541374,0.254491831301657
"ECB_01199",549.70565127525,-0.410813426570232,0.164304251294973,0.00726942356482532,0.0268127968681546
"ECB_01200",286.699009663154,0.124144601408184,0.158060769660548,0.398961042324251,0.5486161956572
"ECB_01201",55.352732039739,1.80164473237563,0.408319669572781,6.84229721037758e-08,1.3676215155989e-06
"ECB_01202",427.263091177949,1.93506095164854,0.308073453006923,1.82421225302702e-12,6.13228493986314e-11
"ECB_01203",84.4447727952493,0.0714290165475048,0.26600367297554,0.75254413633721,0.833086937168361
"ECB_01204",48.7743122554097,0.0856621859504339,0.276965022225662,0.71342729895052,0.805216904073239
