group,timepoint,Time,well,S freq,lambda,total count,YFP,BFP,Dilution,corrected total count,gen,competition,S minmaj,scaled counts,S counts,LSl counts,BFP freq,timegroup,BFP counts,YFP counts
8,4,4.333333333333334,C11,0.004048583,1.31e-07,2717,7539.650879000002,8473.537109,0.005,2717.000178,40k,Sl,min,543400.0356000001,2200.0001463295553,541200.0354536704,0.004048583,4.0,2200.0001463295553,541200.0354536704
6,4,4.35,C6,0.03729612500000001,0.012590954,2212,7837.885742,8597.428711,0.005,2225.954818,40k,L,min,445190.9636,16603.897827296056,428587.06577270397,0.962703875,3.0,428587.06577270397,16603.897827296056
5,4,4.35,C2,0.980831177,0.293304372,1995,7720.792969,8670.821289,0.005,2301.852711,40k,L,maj,460370.5422,451545.7807621541,8824.761437845831,0.019168823,3.0,8824.761437845831,451545.7807621541
5,4,4.35,C1,0.975270957,0.257686776,2253,7685.729492,8582.829102,0.005,2555.737442,40k,L,maj,511147.4884,498507.3001800144,12640.1882199856,0.024729043,3.0,12640.1882199856,498507.3001800144
5,4,4.35,C3,0.979344828,0.479916384,2164,7758.226562999998,8612.34668,0.005,2724.6452870000007,40k,L,maj,544929.0574,533673.4539916052,11255.603408394873,0.020655172,3.0,11255.603408394873,533673.4539916052
7,4,4.333333333333334,C7,0.900284218,0.010528613,1058,7536.931640999999,8481.012695,0.005,1063.57941,40k,Sl,maj,212715.88199999998,191504.75148255032,21211.130517449717,0.900284218,4.0,191504.75148255032,21211.130517449717
2,4,4.250000000000001,A6,0.01123323,1.390990608,4409,7814.559081999999,8506.327148,0.005,8164.419376999998,17k,L,min,1632883.8753999998,18342.56013565954,1614541.3152643403,0.01123323,1.0,18342.56013565954,1614541.3152643403
4,4,4.283333333333334,A11,0.092014748,0.016196461000000002,1478,7729.024414,8595.091797,0.005,1490.001494,17k,Sl,min,298000.2988,27420.422398006704,270579.8764019933,0.092014748,2.0,27420.422398006704,270579.8764019933
3,4,4.283333333333334,A7,0.995222117,0.105866333,3973,7799.50293,8599.386719,0.005,4187.013453000001,17k,Sl,maj,837402.6906000002,833401.6785204281,4001.01207957194,0.995222117,2.0,833401.6785204281,4001.01207957194
4,4,4.283333333333334,A10,0.08614082599999999,0.035019325,1451,7743.393066,8658.228516,0.005,1476.554804,17k,Sl,min,295310.96079999994,25438.33009016561,269872.63070983434,0.08614082599999999,2.0,25438.33009016561,269872.63070983434
